[ RUN      ] BootstrapTest.FileSharing
[2025-01-28 21:46:31.902640] [0x00007f88cde61d80] [debug]   Writing filename length: 8
[2025-01-28 21:46:31.902672] [0x00007f88cde61d80] [info]    Starting stream encryption
[2025-01-28 21:46:31.902680] [0x00007f88cde61d80] [debug]   Initializing cipher for encryption
[2025-01-28 21:46:31.902698] [0x00007f88cde61d80] [debug]   Cipher initialization complete
[2025-01-28 21:46:31.902707] [0x00007f88cde61d80] [debug]   Processing block 0: Read 4 bytes (total processed so far: 0)
[2025-01-28 21:46:31.902715] [0x00007f88cde61d80] [trace]   Encrypting block 0 of size 4
[2025-01-28 21:46:31.902723] [0x00007f88cde61d80] [debug]   Finalizing encryption after 1 blocks
[2025-01-28 21:46:31.902732] [0x00007f88cde61d80] [debug]   Writing final block of size 16
[2025-01-28 21:46:31.902741] [0x00007f88cde61d80] [info]    Completed encryption: Processed 16 bytes in 1 blocks
[2025-01-28 21:46:31.902745] [0x00007f88cde61d80] [debug]   Writing encrypted filename length
[2025-01-28 21:46:31.902749] [0x00007f88cde61d80] [debug]   Encrypting and writing payload of size: 17
[2025-01-28 21:46:31.902760] [0x00007f88cde61d80] [info]    Starting stream encryption
[2025-01-28 21:46:31.902764] [0x00007f88cde61d80] [debug]   Initializing cipher for encryption
[2025-01-28 21:46:31.902769] [0x00007f88cde61d80] [debug]   Cipher initialization complete
[2025-01-28 21:46:31.902781] [0x00007f88cde61d80] [debug]   Processing block 0: Read 17 bytes (total processed so far: 0)
[2025-01-28 21:46:31.902785] [0x00007f88cde61d80] [trace]   Encrypting block 0 of size 17
[2025-01-28 21:46:31.902793] [0x00007f88cde61d80] [debug]   Encrypted block 0 produced 16 bytes
[2025-01-28 21:46:31.902797] [0x00007f88cde61d80] [debug]   Finalizing encryption after 1 blocks
[2025-01-28 21:46:31.902804] [0x00007f88cde61d80] [debug]   Writing final block of size 16
[2025-01-28 21:46:31.902808] [0x00007f88cde61d80] [info]    Completed encryption: Processed 32 bytes in 1 blocks
[2025-01-28 21:46:31.902814] [0x00007f88cde61d80] [info]    Encrypted message frame serialization complete. Total bytes written: 59
[2025-01-28 21:46:31.902818] [0x00007f88cde61d80] [debug]   Cleaning up CryptoStream resources
[2025-01-28 21:46:31.902822] [0x00007f88cde61d80] [debug]   Cleaning up CryptoStream resources
[2025-01-28 21:46:31.902835] [0x00007f88cde61d80] [debug]   Broadcasting file to all peers
[2025-01-28 21:46:31.902852] [0x00007f88cde61d80] [debug]   Peer 2 starting to read and send data chunks
[2025-01-28 21:46:31.902858] [0x00007f88cde61d80] [debug]   Peer 2 read 74 bytes from stream
[2025-01-28 21:46:31.902905] [0x00007f88cde61d80] [debug]   Sent 74 bytes from stream
[2025-01-28 21:46:31.902929] [0x00007f88cde61d80] [debug]   Sent message delimiter
[2025-01-28 21:46:31.902939] [0x00007f88cde61d80] [debug]   Successfully broadcast to peer: 2
[2025-01-28 21:46:31.902943] [0x00007f88cde61d80] [info]    Broadcast completed. Successfully sent to 1 out of 1 peers
[2025-01-28 21:46:31.902947] [0x00007f88cde61d80] [info]    Successfully prepared and sent file: test.txt
[2025-01-28 21:46:31.902955] [0x00007f88cde61d80] [debug]   Cleaning up CryptoStream resources
[2025-01-28 21:46:31.902966] [0x00007f88cde61d80] [info]    Successfully stored and broadcasted file: test.txt
[2025-01-28 21:46:31.903002] [0x00007f88cce596c0] [debug]   Read callback triggered
[2025-01-28 21:46:31.903022] [0x00007f88cce596c0] [debug]   Read from buffer - got 74 bytes of data
[2025-01-28 21:46:31.903033] [0x00007f88cce596c0] [debug]   Receiving data
[2025-01-28 21:46:31.903042] [0x00007f88cce596c0] [debug]   Processing data from 127.0.0.1:3001
[2025-01-28 21:46:31.903046] [0x00007f88cce596c0] [info]    Initializing CryptoStream
[2025-01-28 21:46:31.903051] [0x00007f88cce596c0] [debug]   CryptoStream initialization complete
[2025-01-28 21:46:31.903061] [0x00007f88cce596c0] [info]    Initializing CryptoStream
[2025-01-28 21:46:31.903064] [0x00007f88cce596c0] [debug]   CryptoStream initialization complete
[2025-01-28 21:46:31.903068] [0x00007f88cce596c0] [info]    Starting message frame deserialization
[2025-01-28 21:46:31.903098] [0x00007f88cce596c0] [debug]   Reading IV
[2025-01-28 21:46:31.903103] [0x00007f88cce596c0] [info]    Initializing crypto parameters
[2025-01-28 21:46:31.903110] [0x00007f88cce596c0] [debug]   Crypto parameters initialized successfully
[2025-01-28 21:46:31.903114] [0x00007f88cce596c0] [info]    Initializing crypto parameters
[2025-01-28 21:46:31.903121] [0x00007f88cce596c0] [debug]   Crypto parameters initialized successfully
[2025-01-28 21:46:31.903125] [0x00007f88cce596c0] [debug]   Read message type: 0
[2025-01-28 21:46:31.903129] [0x00007f88cce596c0] [debug]   Read source id: 1
[2025-01-28 21:46:31.903133] [0x00007f88cce596c0] [debug]   Read payload size: 17
[2025-01-28 21:46:31.903141] [0x00007f88cce596c0] [info]    Starting stream decryption
[2025-01-28 21:46:31.903150] [0x00007f88cce596c0] [debug]   Initializing cipher for decryption
